1	Stephen Curry, GS PG		2.55	2.84	6.68	1.04	3.14	3.68	-0.33	4.03		23.63
2	James Harden, Hou SG		-0.65	3.09	3.59	1.40	3.78	2.82	0.79	4.04		18.85
3	Kevin Durant, GS SF		2.38	3.08	2.65	1.84	1.87	0.81	1.85	3.28		17.77
4	Russell Westbrook, OKC PG		0.10	1.31	1.06	2.03	5.48	3.50	-0.17	2.95		16.26
5	Chris Paul, LAC PG		0.39	2.28	1.46	0.43	4.74	3.19	-0.39	2.00		14.09
6	Draymond Green, GS SF		1.12	-0.99	1.05	2.76	3.68	2.25	2.72	1.31		13.89
7	Karl-Anthony Towns, Min C		3.51	0.77	-0.26	3.21	0.35	0.50	3.50	2.13		13.71
8	LeBron James, Cle SF		3.10	-0.55	0.80	1.72	3.04	1.82	0.73	3.04		13.69
9	Kawhi Leonard, SA SF		2.00	1.94	1.59	1.36	0.54	2.50	1.41	2.17		13.51
10	Paul George, Ind SF		-1.60	2.34	3.10	1.71	1.63	3.19	0.11	2.94		13.42
11	Paul Millsap, Atl PF		0.66	0.01	0.56	2.57	1.14	3.05	3.53	1.87		13.39
12	Kyle Lowry, Tor PG		-0.99	1.17	3.14	0.71	2.89	3.36	0.26	2.41		12.94
13	John Wall, Wsh PG  DTD		-1.23	0.57	1.33	0.78	5.13	2.99	1.04	2.19		12.80
14	Hassan Whiteside, Mia PF		3.94	-1.74	-0.82	3.25	-0.66	0.10	7.58	1.11		12.77
15	Damian Lillard, Por PG  DTD		-1.53	2.83	3.45	0.39	3.02	0.70	0.07	2.95		11.88
16	Kemba Walker, Cha PG		-1.10	1.81	2.58	0.67	2.33	2.45	0.42	2.53		11.68
17	Al Horford, Bos C		1.91	0.32	0.82	1.88	1.13	0.79	2.97	1.57		11.38
18	Klay Thompson, GS SG		0.79	1.40	4.33	0.41	0.39	0.56	0.73	2.71		11.30
19	Giannis Antetokounmpo, Mil SF		1.92	-0.63	-0.30	1.96	1.75	1.53	2.72	1.79		10.75
20	Isaiah Thomas, Bos PG		-1.09	2.66	2.30	0.09	3.00	1.44	-0.52	2.83		10.70
21	Pau Gasol, SA PF		0.60	0.53	-0.37	2.88	1.36	0.04	3.75	1.44		10.23
22	Khris Middleton, Mil SF		-0.32	2.06	1.85	0.39	1.64	2.59	-0.21	1.98		9.98
23	Brook Lopez, Bkn C		2.30	0.57	-0.78	1.76	0.23	0.50	3.07	2.12		9.76
24	Anthony Davis, Nor PF  DTD		1.58	0.03	-0.17	2.04	0.01	1.07	3.10	2.08		9.73
25	C.J. McCollum, Por PG		-0.19	0.86	2.86	0.17	1.72	1.62	-0.08	2.48		9.43
26	DeMarcus Cousins, Sac C		-0.04	-1.02	0.49	2.65	0.75	1.73	2.07	2.66		9.29
27	Jimmy Butler, Chi SG		0.07	1.59	0.37	0.67	1.57	1.99	0.54	1.90		8.70
28	Gordon Hayward, Uta SG		-0.75	1.43	1.85	0.87	1.38	1.56	0.04	2.29		8.66
29	Rajon Rondo, Chi PG		0.05	-1.53	0.34	1.06	5.51	2.88	-0.49	0.72		8.54
30	Gorgui Dieng, Min C		1.79	0.92	-0.71	1.82	0.21	1.53	2.19	0.65		8.40
31	LaMarcus Aldridge, SA PF		2.20	1.55	-0.82	2.06	-0.04	-0.07	1.73	1.75		8.35
32	DeMar DeRozan, Tor SG		-0.28	2.42	0.06	0.62	1.52	1.16	-0.14	2.84		8.20
33	Ricky Rubio, Min PG		-1.77	1.43	0.34	0.51	4.13	3.48	-0.49	0.51		8.13
34	Carmelo Anthony, NY SF		-0.78	1.36	1.14	1.68	1.40	0.61	0.39	2.28		8.08
35	Marcin Gortat, Wsh C		3.24	-0.58	-0.82	2.62	-0.07	0.18	2.19	1.05		7.81
36	Jeff Teague, Ind PG  DTD		-0.45	1.25	1.23	-0.06	2.70	1.62	-0.05	1.55		7.80
37	Greg Monroe, Mil PF		2.33	-0.26	-0.82	2.39	0.48	0.90	1.29	1.49		7.79
38	Dirk Nowitzki, Dal PF		-0.16	1.97	1.53	1.34	0.13	0.33	0.82	1.84		7.79
39	Kevin Love, Cle PF		-1.15	1.02	2.13	2.72	0.53	0.50	0.48	1.54		7.77
40	Victor Oladipo, OKC SG		-0.48	0.96	1.01	0.60	1.27	2.16	0.88	1.36		7.77
41	Reggie Jackson, Det PG		-0.75	1.78	1.38	0.14	2.87	0.53	-0.46	2.10		7.59
42	Nicolas Batum, Cha SF		-0.82	0.98	1.77	1.03	2.19	0.70	0.54	1.13		7.53
43	Trevor Ariza, Hou SF		-1.13	0.24	2.63	0.71	0.55	3.42	0.01	1.08		7.51
44	Monta Ellis, Ind SG		-0.89	0.34	0.80	0.23	2.04	3.13	0.35	1.29		7.29
45	Marvin Williams, Cha SF		0.01	0.64	2.02	1.50	-0.04	0.50	1.60	0.91		7.14
46	Serge Ibaka, Orl PF		0.83	-0.03	0.30	1.56	-0.37	-0.07	3.81	0.99		7.01
47	Kristaps Porzingis, NY PF		-0.99	1.03	0.69	1.52	-0.16	0.36	3.38	1.09		6.92
48	Robin Lopez, Chi C		2.18	0.35	-0.82	1.91	-0.01	-0.70	3.22	0.68		6.82
49	Jae Crowder, Bos SF		-0.28	0.81	1.46	0.75	0.15	2.45	0.29	1.11		6.73
50	Nikola Vucevic, Orl C		2.08	-0.03	-0.78	1.78	0.49	0.36	1.38	1.42		6.69
51	Evan Fournier, Orl SG		0.32	1.01	2.09	-0.01	0.75	1.59	-0.74	1.49		6.51
52	Tobias Harris, Det PF		0.54	0.96	0.67	1.44	0.41	0.70	0.45	1.28		6.46
53	Rudy Gay, Sac SF		0.37	0.31	0.56	1.17	0.04	1.70	0.79	1.47		6.41
54	Thaddeus Young, Ind SF		2.10	-1.05	-0.69	2.21	0.16	2.05	0.35	1.25		6.38
55	Nikola Jokic, Den PF		1.37	0.57	-0.30	1.70	0.56	1.10	0.76	0.58		6.34
56	DeAndre Jordan, LAC C		5.01	-8.21	-0.82	4.23	-0.19	0.30	4.72	0.98		6.01
57	Will Barton, Den SG		-0.68	0.69	1.27	1.27	0.67	0.87	0.42	1.42		5.92
58	Dwyane Wade, Chi SG		0.17	0.69	-0.69	0.39	1.74	1.10	0.51	1.92		5.83
59	Jrue Holiday, Nor PGBreaking News		-0.45	1.01	0.80	-0.16	2.10	1.36	-0.11	1.22		5.77
60	Enes Kanter, OKC C		3.32	0.53	-0.64	2.23	-0.63	-0.42	0.23	1.11		5.74
61	Derrick Favors, Uta PF		1.88	-0.64	-0.82	1.41	-0.16	0.96	2.04	1.06		5.71
